SEASON_ID,MATCHUP,GAME_ID,GAME_DATE,SEASON
32022,GNS @ LBN,0032200001,2023-02-19,2022-2023
32021,DRT @ LBN,0032100001,2022-02-20,2021-2022
32020,DRT vs. LBN,0032000001,2021-03-07,2020-2021
32019,GNS vs. LBN,0031900001,2020-02-16,2019-2020
32019,GNS vs. LBN,2531900001,2020-01-23,2019-2020
32018,GNS vs. LBN,0031800001,2019-02-17,2018-2019
32017,LBN @ STP,0031700001,2018-02-18,2017-2018
32016,EST @ WST,0031600001,2017-02-19,2016-2017
32015,EST vs. WST,0031500001,2016-02-14,2015-2016
32014,EST vs. WST,0031400001,2015-02-15,2014-2015
32013,EST @ WST,0031300001,2014-02-16,2013-2014
32012,EST @ WST,0031200001,2013-02-17,2012-2013
32011,EST vs. WST,0031100001,2012-02-26,2011-2012
32010,EST @ WST,0031000001,2011-02-20,2010-2011
32009,EST @ WST,0030900001,2010-02-14,2009-2010
32008,EST @ WST,0030800001,2009-02-15,2008-2009
32007,EST @ WST,0030700001,2008-02-17,2007-2008
32006,EST @ WST,0030600001,2007-02-18,2006-2007
32005,EST @ WST,0030500001,2006-02-19,2005-2006
32004,EST @ WST,0030400001,2005-02-20,2004-2005
32003,EST @ WST,0030300001,2004-02-15,2003-2004
32002,EST vs. WST,0030200001,2003-02-09,2002-2003
32001,EST vs. WST,0030100001,2002-02-10,2001-2002
32000,EST vs. WST,0030000001,2001-02-11,2000-2001
31999,EST @ WST,0039900001,2000-02-13,1999-2000
31997,EST vs. WST,0039700001,1998-02-08,1997-1998
31996,EST vs. WST,0039600001,1997-02-09,1996-1997
31995,EST vs. WST,0039500001,1996-02-11,1995-1996
31994,EST vs. WST,0039400001,1995-02-12,1994-1995
31993,EST @ WST,0039310001,1994-02-13,1993-1994
31992,EST @ WST,0039210001,1993-02-21,1992-1993
31991,EST vs. WST,0039100002,1992-02-09,1991-1992
31990,EST @ WST,0039000002,1991-02-10,1990-1991
31989,EST vs. WST,0038900002,1990-02-11,1989-1990
31988,EST @ WST,0038800002,1989-02-12,1988-1989
31987,EST vs. WST,0038700001,1988-02-07,1987-1988
31986,EST vs. WST,0038600001,1987-02-08,1986-1987
31985,EST @ WST,0038500001,1986-02-09,1985-1986
31984,EST vs. WST,0038400101,1985-02-10,1984-1985
31983,EST @ WST,0038300010,1984-01-29,1983-1984
